Key:[1603] Value:[4992 4992]
Key:[1598] Value:[4966 4987]
Key:[1597] Value:[4963 4963]
Key:[1596] Value:[4960 4973]
Key:[1595] Value:[4956 4956]
Key:[1592] Value:[4948 4948]
Key:[1590] Value:[4944 4944]
Key:[1589] Value:[4940 4940]
Key:[1587] Value:[4938 4938]
Key:[1586] Value:[4937 4937]
Key:[1583] Value:[4926 4927]
Key:[1591] Value:[4946 4946]
Key:[1574] Value:[4869 4877]
Key:[1573] Value:[4860 4860]
Key:[1570] Value:[4849 4900]
Key:[1567] Value:[4836 4836]
Key:[1566] Value:[4833 4833]
Key:[1565] Value:[4825 4825]
Key:[1562] Value:[4809 4809]
Key:[1561] Value:[4794 4794]
Key:[1557] Value:[4786 4786]
Key:[1553] Value:[4776 4776]
Key:[1552] Value:[4774 4774]
Key:[1551] Value:[4773 4808]
Key:[1549] Value:[4756 4756]
Key:[1544] Value:[4747 4747]
Key:[1542] Value:[4743 4743]
Key:[1538] Value:[4732 4732]
Key:[1547] Value:[4753 4753]
Key:[1535] Value:[4726 4726]
Key:[1533] Value:[4721 4721]
Key:[1532] Value:[4720 4720]
Key:[1528] Value:[4699 4817]
Key:[1526] Value:[4697 4697]
Key:[1525] Value:[4696 4696]
Key:[1523] Value:[4692 4710]
Key:[1522] Value:[4689 4689]
Key:[1518] Value:[4672 4672]
Key:[1516] Value:[4667 4684]
Key:[1515] Value:[4666 4666]
Key:[1514] Value:[4658 4658]
Key:[1512] Value:[4645 4645]
Key:[1510] Value:[4641 4733]
Key:[1503] Value:[4619 4619]
Key:[1499] Value:[4596 4752]
Key:[1492] Value:[4553 4553]
Key:[1490] Value:[4549 4549]
Key:[1479] Value:[4522 4522]
Key:[1478] Value:[4518 4518]
Key:[1477] Value:[4508 4508]
Key:[1472] Value:[4487 4487]
Key:[1471] Value:[4483 4483]
Key:[1467] Value:[4465 4465]
Key:[1500] Value:[4599 4599]
Key:[1465] Value:[4457 4457]
Key:[1460] Value:[4441 4488]
Key:[1458] Value:[4434 4434]
Key:[1456] Value:[4429 4429]
Key:[1455] Value:[4427 4427]
Key:[1451] Value:[4418 4418]
Key:[1448] Value:[4409 4771]
Key:[1445] Value:[4399 4399]
Key:[1443] Value:[4392 4392]
Key:[1437] Value:[4379 4379]
Key:[1435] Value:[4377 4377]
Key:[1434] Value:[4375 4375]
Key:[1433] Value:[4373 4373]
Key:[1432] Value:[4370 4370]
Key:[1431] Value:[4359 4362]
Key:[1601] Value:[4990 4990]
Key:[1430] Value:[4354 4945]
Key:[1426] Value:[4324 4324]
Key:[1425] Value:[4323 4323]
Key:[1424] Value:[4314 4314]
Key:[1423] Value:[4311 4365]
Key:[1422] Value:[4305 4305]
Key:[1420] Value:[4302 4302]
Key:[1416] Value:[4280 4280]
Key:[1415] Value:[4277 4277]
Key:[1414] Value:[4275 4292]
Key:[1412] Value:[4269 4655]
Key:[1410] Value:[4267 4267]
Key:[1407] Value:[4260 4260]
Key:[1405] Value:[4251 4251]
Key:[1593] Value:[4950 4950]
Key:[1403] Value:[4242 4243]
Key:[1401] Value:[4236 4236]
Key:[1399] Value:[4228 4757]
Key:[1398] Value:[4223 4223]
Key:[1396] Value:[4218 4218]
Key:[1390] Value:[4189 4189]
Key:[1556] Value:[4784 4784]
Key:[1386] Value:[4168 4168]
Key:[1384] Value:[4149 4272]
Key:[1383] Value:[4140 4140]
Key:[1379] Value:[4121 4167]
Key:[1378] Value:[4120 4120]
Key:[1376] Value:[4098 4098]
Key:[1374] Value:[4087 4087]
Key:[1373] Value:[4086 4273]
Key:[1372] Value:[4080 4240]
Key:[1371] Value:[4059 4066]
Key:[1364] Value:[4014 4129]
Key:[1363] Value:[4011 4011]
Key:[1360] Value:[4006 4026]
Key:[1469] Value:[4479 4479]
Key:[1359] Value:[4005 4208]
Key:[1498] Value:[4591 4879]
Key:[1354] Value:[3979 3984]
Key:[1351] Value:[3969 4020]
Key:[1349] Value:[3965 3965]
Key:[1395] Value:[4214 4214]
Key:[1348] Value:[3962 4032]
Key:[1345] Value:[3957 3957]
Key:[1343] Value:[3955 3955]
Key:[1342] Value:[3954 3954]
Key:[1340] Value:[3951 3951]
Key:[1339] Value:[3943 3943]
Key:[1429] Value:[4353 4353]
Key:[1336] Value:[3934 3934]
Key:[1335] Value:[3928 3929]
Key:[1436] Value:[4378 4406]
Key:[1333] Value:[3920 3926]
Key:[1332] Value:[3916 3916]
Key:[1507] Value:[4633 4633]
Key:[1330] Value:[3906 3906]
Key:[1329] Value:[3904 3904]
Key:[1328] Value:[3903 3903]
Key:[1327] Value:[3902 3902]
Key:[1326] Value:[3900 3907]
Key:[1324] Value:[3893 4116]
Key:[1322] Value:[3891 4678]
Key:[1321] Value:[3888 3888]
Key:[1316] Value:[3865 3865]
Key:[1487] Value:[4537 4543]
Key:[1315] Value:[3864 3864]
Key:[1313] Value:[3857 3874]
Key:[1447] Value:[4407 4407]
Key:[1312] Value:[3854 4602]
Key:[1309] Value:[3845 3866]
Key:[1308] Value:[3837 3837]
Key:[1307] Value:[3835 3835]
Key:[1305] Value:[3832 3832]
Key:[1304] Value:[3829 3829]
Key:[1301] Value:[3821 3821]
Key:[1298] Value:[3801 3801]
Key:[1296] Value:[3792 3792]
Key:[1295] Value:[3791 3791]
Key:[1294] Value:[3783 3783]
Key:[1314] Value:[3860 3860]
Key:[1293] Value:[3779 3779]
Key:[1289] Value:[3774 4988]
Key:[1287] Value:[3763 3763]
Key:[1283] Value:[3749 3749]
Key:[1274] Value:[3724 3732]
Key:[1271] Value:[3713 4989]
Key:[1270] Value:[3711 3711]
Key:[1273] Value:[3722 3722]
Key:[1268] Value:[3707 3747]
Key:[1267] Value:[3702 3703]
Key:[1266] Value:[3701 3701]
Key:[1264] Value:[3693 3693]
Key:[1262] Value:[3686 3686]
Key:[1580] Value:[4911 4911]
Key:[1261] Value:[3684 3689]
Key:[1260] Value:[3683 3683]
Key:[1259] Value:[3677 3677]
Key:[1258] Value:[3665 3665]
Key:[1257] Value:[3660 3879]
Key:[1253] Value:[3639 3639]
Key:[1252] Value:[3634 3634]
Key:[1251] Value:[3630 3630]
Key:[1250] Value:[3628 3825]
Key:[1248] Value:[3619 3619]
Key:[1243] Value:[3587 3606]
Key:[1600] Value:[4982 4982]
Key:[1240] Value:[3575 3575]
Key:[1235] Value:[3563 3563]
Key:[1559] Value:[4788 4867]
Key:[1508] Value:[4634 4652]
Key:[1231] Value:[3543 3543]
Key:[1230] Value:[3542 3542]
Key:[1228] Value:[3538 4863]
Key:[1225] Value:[3521 4498]
Key:[1297] Value:[3797 3810]
Key:[1224] Value:[3511 3511]
Key:[1317] Value:[3868 4614]
Key:[1223] Value:[3509 3509]
Key:[1222] Value:[3495 3520]
Key:[1220] Value:[3485 3485]
Key:[1428] Value:[4342 4342]
Key:[1217] Value:[3475 3475]
Key:[1216] Value:[3473 3473]
Key:[1214] Value:[3448 3449]
Key:[1213] Value:[3441 3441]
Key:[1210] Value:[3430 3679]
Key:[1543] Value:[4746 4746]
Key:[1454] Value:[4425 4425]
Key:[1206] Value:[3413 3455]
Key:[1204] Value:[3404 3404]
Key:[1203] Value:[3401 3401]
Key:[1202] Value:[3393 4690]
Key:[1200] Value:[3387 3397]
Key:[1197] Value:[3376 3376]
Key:[1193] Value:[3370 3370]
Key:[1191] Value:[3367 4962]
Key:[1255] Value:[3648 3648]
Key:[1190] Value:[3363 3363]
Key:[1392] Value:[4196 4215]
Key:[1189] Value:[3362 3362]
Key:[1208] Value:[3422 3422]
Key:[1188] Value:[3361 3361]
Key:[1187] Value:[3353 3353]
Key:[1185] Value:[3344 3344]
Key:[1182] Value:[3327 3327]
Key:[1473] Value:[4495 4845]
Key:[1179] Value:[3318 3318]
Key:[1178] Value:[3316 3599]
Key:[1177] Value:[3312 3312]
Key:[1175] Value:[3309 3325]
Key:[1236] Value:[3565 3565]
Key:[1173] Value:[3306 3306]
Key:[1171] Value:[3296 3372]
Key:[1170] Value:[3292 3294]
Key:[1169] Value:[3284 3364]
Key:[1167] Value:[3279 3286]
Key:[1165] Value:[3258 3258]
Key:[1163] Value:[3255 3964]
Key:[1162] Value:[3249 3249]
Key:[1160] Value:[3246 3246]
Key:[1158] Value:[3242 3242]
Key:[1157] Value:[3240 3240]
Key:[1156] Value:[3239 3239]
Key:[1172] Value:[3299 3299]
Key:[1155] Value:[3237 3237]
Key:[1153] Value:[3234 3234]
Key:[1151] Value:[3230 3230]
Key:[1150] Value:[3228 3228]
Key:[1148] Value:[3224 3224]
Key:[1144] Value:[3210 3210]
Key:[1143] Value:[3209 3209]
Key:[1141] Value:[3204 3478]
Key:[1269] Value:[3709 3709]
Key:[1140] Value:[3203 3203]
Key:[1139] Value:[3202 4179]
Key:[1138] Value:[3197 3197]
Key:[1578] Value:[4904 4930]
Key:[1137] Value:[3189 3189]
Key:[1136] Value:[3187 3187]
Key:[1166] Value:[3268 3290]
Key:[1135] Value:[3182 3182]
Key:[1134] Value:[3180 3486]
Key:[1133] Value:[3178 3186]
Key:[1131] Value:[3174 3174]
Key:[1129] Value:[3160 3223]
Key:[1126] Value:[3154 3330]
Key:[1125] Value:[3153 3153]
Key:[1124] Value:[3152 3152]
Key:[1122] Value:[3150 3150]
Key:[1121] Value:[3147 3740]
Key:[1120] Value:[3145 3145]
Key:[1119] Value:[3140 3576]
Key:[1117] Value:[3130 3275]
Key:[1113] Value:[3117 4295]
Key:[1111] Value:[3111 3111]
Key:[1109] Value:[3107 3107]
Key:[1106] Value:[3101 4449]
Key:[1104] Value:[3096 3289]
Key:[1103] Value:[3095 3095]
Key:[1102] Value:[3092 4958]
Key:[1100] Value:[3088 3885]
Key:[1501] Value:[4604 4604]
Key:[1282] Value:[3746 3746]
Key:[1099] Value:[3085 3369]
Key:[1098] Value:[3084 3084]
Key:[1096] Value:[3082 4227]
Key:[1491] Value:[4550 4665]
Key:[1095] Value:[3072 3072]
Key:[1094] Value:[3071 3071]
Key:[1090] Value:[3055 3055]
Key:[1088] Value:[3049 3049]
Key:[1323] Value:[3892 3895]
Key:[1087] Value:[3044 3044]
Key:[1476] Value:[4506 4506]
Key:[1086] Value:[3041 3043]
Key:[1083] Value:[3022 3022]
Key:[1558] Value:[4787 4828]
Key:[1369] Value:[4053 4053]
Key:[1082] Value:[3016 3016]
Key:[1081] Value:[3013 3013]
Key:[1078] Value:[3002 3002]
Key:[1077] Value:[3000 3042]
Key:[1076] Value:[2995 3678]
Key:[1075] Value:[2992 2992]
Key:[1074] Value:[2991 2991]
Key:[1073] Value:[2989 2989]
Key:[1072] Value:[2988 2988]
Key:[1068] Value:[2970 3250]
Key:[1067] Value:[2959 2959]
Key:[1065] Value:[2956 3106]
Key:[1064] Value:[2954 3048]
Key:[1060] Value:[2936 2936]
Key:[1058] Value:[2933 2933]
Key:[1055] Value:[2923 3406]
Key:[1054] Value:[2918 2918]
Key:[1051] Value:[2912 3646]
Key:[1050] Value:[2907 2943]
Key:[1049] Value:[2906 3093]
Key:[1569] Value:[4843 4843]
Key:[1047] Value:[2900 3548]
Key:[1046] Value:[2897 2897]
Key:[1045] Value:[2896 2896]
Key:[1418] Value:[4297 4325]
Key:[1044] Value:[2894 2894]
Key:[1537] Value:[4731 4731]
Key:[1245] Value:[3602 4744]
Key:[1107] Value:[3103 3103]
Key:[1043] Value:[2893 2893]
Key:[1039] Value:[2885 2885]
Key:[1276] Value:[3726 3935]
Key:[1063] Value:[2952 2974]
Key:[1035] Value:[2878 2886]
Key:[1034] Value:[2872 2875]
Key:[1033] Value:[2871 2871]
Key:[1032] Value:[2869 2869]
Key:[1581] Value:[4921 4921]
Key:[1029] Value:[2857 2857]
Key:[1028] Value:[2854 4622]
Key:[1026] Value:[2843 2843]
Key:[1024] Value:[2840 2840]
Key:[1023] Value:[2839 2845]
Key:[1555] Value:[4782 4782]
Key:[1022] Value:[2837 4333]
Key:[1494] Value:[4558 4559]
Key:[1019] Value:[2828 2828]
Key:[1355] Value:[3985 3985]
Key:[1018] Value:[2826 2826]
Key:[1016] Value:[2819 2836]
Key:[1015] Value:[2818 2818]
Key:[1014] Value:[2816 2816]
Key:[1013] Value:[2815 4999]
Key:[1400] Value:[4235 4235]
Key:[1010] Value:[2807 2807]
Key:[1009] Value:[2806 2806]
Key:[1008] Value:[2805 3037]
Key:[1007] Value:[2799 2799]
Key:[1005] Value:[2796 3728]
Key:[1004] Value:[2794 4590]
Key:[1003] Value:[2791 2791]
Key:[1000] Value:[2783 2783]
Key:[999] Value:[2781 2781]
Key:[1114] Value:[3120 4580]
Key:[998] Value:[2780 2780]
Key:[997] Value:[2777 2777]
Key:[992] Value:[2764 2764]
Key:[991] Value:[2763 2792]
Key:[990] Value:[2758 2758]
Key:[986] Value:[2748 4628]
Key:[1002] Value:[2790 2790]
Key:[985] Value:[2743 2747]
Key:[983] Value:[2741 2741]
Key:[1265] Value:[3697 4047]
Key:[981] Value:[2738 2738]
Key:[1380] Value:[4122 4703]
Key:[977] Value:[2714 2714]
Key:[976] Value:[2707 2730]
Key:[1300] Value:[3817 3819]
Key:[975] Value:[2705 4114]
Key:[974] Value:[2703 2721]
Key:[973] Value:[2699 2699]
Key:[1453] Value:[4424 4424]
Key:[971] Value:[2693 2696]
Key:[970] Value:[2692 2692]
Key:[1070] Value:[2981 2986]
Key:[967] Value:[2684 2684]
Key:[1511] Value:[4642 4642]
Key:[1241] Value:[3584 3584]
Key:[965] Value:[2682 3399]
Key:[964] Value:[2681 2681]
Key:[1292] Value:[3777 3777]
Key:[963] Value:[2680 3079]
Key:[962] Value:[2679 2679]
Key:[961] Value:[2670 2670]
Key:[960] Value:[2664 2664]
Key:[959] Value:[2663 2663]
Key:[1521] Value:[4685 4685]
Key:[958] Value:[2662 2827]
Key:[957] Value:[2658 2658]
Key:[956] Value:[2656 2656]
Key:[1520] Value:[4677 4677]
Key:[1232] Value:[3549 3549]
Key:[955] Value:[2654 2654]
Key:[1306] Value:[3834 3834]
Key:[953] Value:[2651 2651]
Key:[951] Value:[2647 2647]
Key:[950] Value:[2644 3357]
Key:[1038] Value:[2883 4306]
Key:[972] Value:[2698 2706]
Key:[949] Value:[2643 2643]
Key:[1568] Value:[4840 4957]
Key:[947] Value:[2639 3913]
Key:[943] Value:[2626 2626]
Key:[941] Value:[2623 2623]
Key:[1168] Value:[3280 3281]
Key:[939] Value:[2618 2618]
Key:[938] Value:[2616 2853]
Key:[1061] Value:[2937 2972]
Key:[934] Value:[2606 2606]
Key:[932] Value:[2602 2602]
Key:[1368] Value:[4052 4052]
Key:[931] Value:[2598 3017]
Key:[1280] Value:[3738 3738]
Key:[928] Value:[2576 2608]
Key:[927] Value:[2574 3518]
Key:[1387] Value:[4170 4170]
Key:[925] Value:[2571 2571]
Key:[923] Value:[2564 3474]
Key:[920] Value:[2550 2550]
Key:[1011] Value:[2808 2808]
Key:[917] Value:[2536 2536]
Key:[916] Value:[2535 2535]
Key:[989] Value:[2754 2754]
Key:[915] Value:[2533 4443]
Key:[914] Value:[2532 2532]
Key:[913] Value:[2530 2530]
Key:[912] Value:[2519 2589]
Key:[908] Value:[2511 2511]
Key:[907] Value:[2510 4329]
Key:[905] Value:[2505 2506]
Key:[904] Value:[2502 2502]
Key:[903] Value:[2501 2501]
Key:[902] Value:[2499 2499]
Key:[901] Value:[2498 2498]
Key:[898] Value:[2494 3276]
Key:[897] Value:[2491 3024]
Key:[895] Value:[2487 2487]
Key:[893] Value:[2485 2485]
Key:[891] Value:[2470 2470]
Key:[1233] Value:[3550 3581]
Key:[1219] Value:[3479 3492]
Key:[1127] Value:[3155 3216]
Key:[890] Value:[2464 4644]
Key:[888] Value:[2459 2459]
Key:[887] Value:[2452 2452]
Key:[884] Value:[2447 2447]
Key:[1560] Value:[4793 4793]
Key:[881] Value:[2433 2439]
Key:[906] Value:[2507 2507]
Key:[879] Value:[2429 2429]
Key:[910] Value:[2513 2513]
Key:[873] Value:[2401 2401]
Key:[875] Value:[2407 2407]
Key:[872] Value:[2397 2397]
Key:[870] Value:[2395 2395]
Key:[868] Value:[2391 2391]
Key:[867] Value:[2390 2390]
Key:[866] Value:[2389 2389]
Key:[864] Value:[2376 2376]
Key:[862] Value:[2370 2392]
Key:[1346] Value:[3959 3959]
Key:[858] Value:[2350 2388]
Key:[856] Value:[2336 2468]
Key:[854] Value:[2332 2332]
Key:[1062] Value:[2944 2944]
Key:[853] Value:[2331 2462]
Key:[852] Value:[2327 2327]
Key:[851] Value:[2324 2324]
Key:[1484] Value:[4533 4533]
Key:[1358] Value:[3999 4598]
Key:[1310] Value:[3848 3848]
Key:[850] Value:[2323 2323]
Key:[1352] Value:[3973 3975]
Key:[849] Value:[2322 2905]
Key:[846] Value:[2314 2314]
Key:[845] Value:[2311 2311]
Key:[844] Value:[2308 2308]
Key:[843] Value:[2305 2305]
Key:[978] Value:[2716 2716]
Key:[842] Value:[2299 2299]
Key:[841] Value:[2285 2285]
Key:[1575] Value:[4872 4872]
Key:[894] Value:[2486 3108]
Key:[839] Value:[2281 3181]
Key:[1132] Value:[3177 3519]
Key:[837] Value:[2278 2779]
Key:[835] Value:[2275 2275]
Key:[1181] Value:[3326 3326]
Key:[833] Value:[2272 2272]
Key:[832] Value:[2271 2271]
Key:[831] Value:[2269 2270]
Key:[829] Value:[2265 2265]
Key:[1579] Value:[4909 4914]
Key:[828] Value:[2264 2264]
Key:[827] Value:[2262 2262]
Key:[826] Value:[2261 2261]
Key:[825] Value:[2260 4695]
Key:[824] Value:[2257 2258]
Key:[945] Value:[2633 2633]
Key:[823] Value:[2256 2256]
Key:[1116] Value:[3126 3126]
Key:[100] Value:[216 4663]
Key:[1529] Value:[4702 4735]
Key:[402] Value:[1039 1112]
Key:[1483] Value:[4532 4532]
Key:[1474] Value:[4497 4497]
Key:[1406] Value:[4252 4252]
Key:[757] Value:[2042 3536]
Key:[1442] Value:[4387 4387]
Key:[401] Value:[1038 1056]
Key:[343] Value:[835 835]
Key:[395] Value:[1002 1002]
Key:[1365] Value:[4017 4017]
Key:[370] Value:[911 3873]
Key:[663] Value:[1744 1744]
Key:[103] Value:[220 3094]
Key:[579] Value:[1553 1553]
Key:[715] Value:[1854 3952]
Key:[995] Value:[2770 2770]
Key:[390] Value:[990 990]
Key:[1439] Value:[4382 4394]
Key:[316] Value:[756 4035]
Key:[388] Value:[984 984]
Key:[387] Value:[982 982]
Key:[466] Value:[1195 1195]
Key:[1198] Value:[3383 3385]
Key:[503] Value:[1293 1293]
Key:[507] Value:[1301 1301]
Key:[382] Value:[948 2259]
Key:[578] Value:[1550 1550]
Key:[1341] Value:[3953 4717]
Key:[882] Value:[2440 3200]
Key:[378] Value:[940 1019]
Key:[376] Value:[931 931]
Key:[1272] Value:[3715 4263]
Key:[268] Value:[631 631]
Key:[561] Value:[1516 1516]
Key:[184] Value:[410 448]
Key:[1531] Value:[4711 4715]
Key:[101] Value:[217 217]
Key:[1195] Value:[3374 4637]
Key:[359] Value:[885 2067]
Key:[77] Value:[178 178]
Key:[1128] Value:[3156 3156]
Key:[463] Value:[1188 1188]
Key:[357] Value:[877 3937]
Key:[1025] Value:[2841 2867]
Key:[141] Value:[302 1033]
Key:[1311] Value:[3852 3852]
Key:[458] Value:[1177 1177]
Key:[355] Value:[866 866]
Key:[134] Value:[289 628]
Key:[431] Value:[1117 1117]
Key:[785] Value:[2118 2118]
Key:[783] Value:[2114 2114]
Key:[405] Value:[1055 3863]
Key:[39] Value:[104 182]
Key:[1588] Value:[4939 4955]
Key:[1237] Value:[3566 3566]
Key:[696] Value:[1805 4996]
Key:[1493] Value:[4556 4556]
Key:[351] Value:[856 895]
Key:[707] Value:[1836 1836]
Key:[347] Value:[843 843]
Key:[341] Value:[833 1473]
Key:[338] Value:[828 3741]
Key:[1509] Value:[4638 4639]
Key:[280] Value:[680 4540]
Key:[667] Value:[1749 3412]
Key:[334] Value:[819 819]
Key:[476] Value:[1226 4396]
Key:[332] Value:[806 3300]
Key:[329] Value:[792 792]
Key:[532] Value:[1406 1406]
Key:[326] Value:[783 784]
Key:[547] Value:[1480 1480]
Key:[1279] Value:[3735 3786]
Key:[585] Value:[1562 1562]
Key:[1057] Value:[2928 2928]
Key:[350] Value:[848 848]
Key:[1517] Value:[4671 4671]
Key:[324] Value:[777 777]
Key:[423] Value:[1095 1095]
Key:[1404] Value:[4246 4792]
Key:[321] Value:[765 765]
Key:[189] Value:[427 427]
Key:[457] Value:[1175 1175]
Key:[727] Value:[1906 4204]
Key:[308] Value:[730 753]
Key:[384] Value:[974 974]
Key:[1164] Value:[3257 3257]
Key:[302] Value:[715 4262]
Key:[178] Value:[397 397]
Key:[1468] Value:[4478 4998]
Key:[1040] Value:[2888 2888]
Key:[1021] Value:[2833 2833]
Key:[485] Value:[1250 1250]
Key:[300] Value:[713 713]
Key:[566] Value:[1527 1527]
Key:[814] Value:[2225 2225]
Key:[342] Value:[834 1729]
Key:[45] Value:[121 121]
Key:[97] Value:[212 4617]
Key:[520] Value:[1364 1390]
Key:[505] Value:[1297 1297]
Key:[111] Value:[233 237]
Key:[528] Value:[1385 2359]
Key:[322] Value:[767 774]
Key:[673] Value:[1759 2304]
Key:[524] Value:[1375 2948]
Key:[393] Value:[999 4705]
Key:[306] Value:[721 721]
Key:[31] Value:[87 93]
Key:[285] Value:[688 852]
Key:[781] Value:[2107 2109]
Key:[1263] Value:[3690 3721]
Key:[284] Value:[686 686]
Key:[1463] Value:[4454 4454]
Key:[801] Value:[2179 2179]
Key:[283] Value:[683 683]
Key:[415] Value:[1082 4525]
Key:[1277] Value:[3731 3731]
Key:[281] Value:[681 681]
Key:[313] Value:[739 4519]
Key:[545] Value:[1476 4606]
Key:[391] Value:[993 4015]
Key:[1012] Value:[2810 2810]
Key:[10] Value:[19 19]
Key:[486] Value:[1252 1252]
Key:[1226] Value:[3523 3523]
Key:[278] Value:[678 3824]
Key:[377] Value:[933 1524]
Key:[1530] Value:[4709 4942]
Key:[1246] Value:[3611 3611]
Key:[277] Value:[677 3861]
Key:[984] Value:[2742 2742]
Key:[628] Value:[1672 1672]
Key:[1318] Value:[3869 3878]
Key:[702] Value:[1821 2062]
Key:[952] Value:[2648 2648]
Key:[273] Value:[652 652]
Key:[254] Value:[605 605]
Key:[697] Value:[1806 1806]
Key:[271] Value:[642 675]
Key:[262] Value:[617 823]
Key:[694] Value:[1798 3076]
Key:[604] Value:[1610 2811]
Key:[261] Value:[616 616]
Key:[1142] Value:[3207 4145]
Key:[260] Value:[615 615]
Key:[305] Value:[720 720]
Key:[755] Value:[2038 2039]
Key:[257] Value:[609 609]
Key:[255] Value:[606 606]
Key:[213] Value:[478 4253]
Key:[330] Value:[799 4889]
Key:[373] Value:[920 1283]
Key:[240] Value:[550 4740]
Key:[252] Value:[603 613]
Key:[1344] Value:[3956 3956]
Key:[331] Value:[802 1256]
Key:[290] Value:[697 697]
Key:[270] Value:[635 635]
Key:[132] Value:[283 1026]
Key:[242] Value:[556 556]
Key:[241] Value:[554 4800]
Key:[346] Value:[842 3799]
Key:[236] Value:[535 4722]
Key:[233] Value:[525 4868]
Key:[1394] Value:[4210 4210]
Key:[232] Value:[522 522]
Key:[139] Value:[300 391]
Key:[1338] Value:[3942 3942]
Key:[562] Value:[1518 1518]
Key:[365] Value:[901 912]
Key:[1546] Value:[4751 4751]
Key:[786] Value:[2120 2150]
